,title,company,salary,location,hiringStatus,postedDate
197,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
198,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
199,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
200,Senior Software Development Engineer,The Morey Corporation,$96K - $129K,"Woodridge, IL",Actively Hiring,2023-01-09
201,Embedded Software Engineer,RDM Industrial Electronics,$40.00 - $50.66 Per Hour(Employer est.),"Nebo, NC",Actively Hiring,2023-01-09
202,Embedded Software Engineer,First Consulting Inc.,$120K,"Rochester, NY",Actively Hiring,2023-01-09
203,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$47K - $68K,"Bremen, IN",Actively Hiring,2023-01-16
204,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $100K,"Dublin, OH",Actively Hiring,2023-01-20
205,Senior Software Engineer,ST Engineering iDirect,$110K - $143K,"Herndon, VA",Actively Hiring,2023-01-09
206,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$63K - $97K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
207,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$80K - $180K,"Syracuse, NY",Actively Hiring,2023-01-09
208,Sr. Embedded Software Engineer,Kitchen Brains,$100K,"Stratford, CT",Actively Hiring,2023-01-09
209,Software Engineer III,Paychex,$80K - $120K,"Rochester, NY",Actively Hiring,2023-01-09
210,Senior Software Engineer (ACIST),CRL Technologies,$87K - $123K,"Lexington Park, MD",Actively Hiring,2023-01-09
211,Mid-Level Software Engineer,"Usio, Inc.",$66K - $95K,"San Antonio, TX",Actively Hiring,2023-01-09
212,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$66K - $97K,"Mason, OH",Actively Hiring,2023-01-26
213,Software Developer - Product,McLeod Software,$95K - $110K,"Birmingham, AL",Actively Hiring,2023-01-09
214,SENIOR SOFTWARE ENGINEER,Pressco Technology,$80K - $120K,"Solon, OH",Actively Hiring,2023-01-09
215,Sr. Software Engineer,"Candid Color Systems, Inc.",$102K - $140K,"Oklahoma City, OK",Actively Hiring,2023-01-31
216,Sr. Genesys Engage Engineer,"Placed, LLC",$65K - $89K,"Denver, CO",Actively Hiring,2023-01-09
217,Software Engineer,CHG Healthcare,$70K - $90K,"Salt Lake City, UT",Actively Hiring,2023-01-23
218,Embedded Engineer -Embedded Hardware,Doosan Bobcat,$90K - $100K,"West Fargo, ND",Actively Hiring,2023-01-09
219,Software Engineer,Joseph Machine Company Inc.,$93K - $134K,"Dillsburg, PA",Actively Hiring,2023-01-09
220,Cloud Software Engineer,The Fikes Companies,$100K - $126K,"Temple, TX",Actively Hiring,2023-01-09
221,Linux Modern C++ Software Engineer,Geisel Software,$84K - $120K,"Worcester, MA",Actively Hiring,2023-01-09
222,SENIOR SOFTWARE ENGINEER - L&A,Murata Machinery Usa Inc,$100K - $175K,"Charlotte, NC",Actively Hiring,2023-02-06
223,PLC Software Engineer,Aqua-Chem,$81K - $111K,"Knoxville, TN",Actively Hiring,2023-01-09
224,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
225,Firmware Engineer,SJE,$79K - $100K,"Ashland, OH",Actively Hiring,2023-01-09
226,Technical Lead/Software Engineer,Resource Data,$76K - $113K,"Boise, ID",Actively Hiring,2023-01-09
227,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
228,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
229,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
230,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
231,Automation Engineer,Landus Cooperative,$66K - $95K,"Des Moines, IA",Actively Hiring,2023-01-09
232,Software Engineer,CHG Healthcare,$96K - $129K,"Salt Lake City, UT",Actively Hiring,2023-01-23
233,Senior Software Development Engineer,The Morey Corporation,$40.00 - $50.66 Per Hour(Employer est.),"Woodridge, IL",Actively Hiring,2023-01-09
